strain	Size_Factor	umap_1	umap_2	louvain_component	Cluster	strain.sys
1	SWD1	1.01263554532585	14.306766967872	13.8578039237232	1	30	YAR003W
2	PTC1	1.01646960716697	14.4130084205551	14.2696485480649	1	10	YDL006W
3	TLC1	1.03792629668486	13.9748502285435	14.7988498604628	1	2	TER1
4	RAD16	1.00176591545977	14.0411179259576	14.5065395248453	1	3	YBR114W
5	MSN2	1.00265378836649	14.3204951544243	14.1845846450803	1	8	YMR037C
6	PTR2	1.00042765145013	14.3066571269895	14.5654471281015	1	9	YKR093W
7	MUD2	0.997676536369226	14.1752730135473	13.9384398635441	1	31	YKL074C
8	NTH2	1.00857055046699	15.0198729668473	7.1338273180522	1	13	YBR001C
9	KNS1	0.997587605641898	14.1099877300908	14.4994313924332	1	1	YLL019C
10	PRR1	0.997643545938121	14.1836094814484	14.3402847166693	1	4	YKL116C
11	PHO84	0.995764525731661	14.1067611024516	14.6369004632265	1	1	YML123C
12	HHT1	0.99960862813877	14.2099252366275	14.1052903154514	1	22	YBR010W
13	CRP1	0.992214468471364	13.8229319671637	14.5769265966686	1	5	YHR146W
14	MIG3	0.997850094724174	14.0452762372531	14.3856898346669	1	3	YER028C
15	PGM1	0.986309181303428	14.3637326215589	14.1447198205245	1	8	YKL127W
16	PEX4	1.0099145519429	14.0416111476878	14.5180076162965	1	3	YGR133W
17	LIF1	1.0006385033359	14.3801843034855	14.8038025879257	1	11	YGL090W
18	GRX3	0.994377493258648	14.257187854966	14.5602513854431	1	23	YDR098C
19	ALK2	0.999077912507937	14.1044720215621	14.3606009980089	1	4	YBL009W
20	PDE1	0.996804441494778	14.1699320161474	14.5993023221562	1	2	YGL248W
21	SWA2	1.02601961978881	14.4248344153867	14.2544746403673	1	10	YDR320C
22	MIG2	1.00185914928681	14.3137461458468	14.5678400872306	1	9	YGL209W
23	TRM1	0.99592660915405	14.4018741129987	14.49404178372	1	1	YDR120C
24	TIF2	0.996336837993017	14.2341031489871	14.6855621255067	1	35	YJL138C
25	RAD18	0.999228520997768	13.9642674990799	14.7785487830871	1	2	YCR066W
26	RDS1	0.997954803483771	14.1752961918352	14.5141997990346	1	1	YCR106W
27	ASF1	1.01517150542128	13.9737153508901	14.7960697897939	1	2	YJL115W
28	VPS16	1.01553870326316	14.2277405486368	14.20920502382	1	4	YPL045W
29	SWI5	0.998131230571858	14.206418406138	14.7027233671232	1	7	YDR146C
30	MSH3	0.98950781875412	14.0066654152184	14.6213436018079	1	2	YCR092C
31	DOT1	0.992542938415852	13.8481031534552	14.603608167495	1	5	YDR440W
32	SIR2	1.00489857204825	14.2184129270845	14.8680859404994	1	27	YDL042C
33	OCA2	0.998697805366936	14.0606553687286	14.7796847570808	1	2	YNL056W
34	LCB5	0.993516873316758	0.00171178017194587	14.3391489081609	1	26	YLR260W
35	HTZ1	0.986753834940071	13.9189752937861	14.1196599024265	1	24	YOL012C
36	TFB5	0.996695429635472	14.3607451357244	14.1377642655795	1	8	YDR079C-A
37	HAP3	0.987958702858717	14.1004488872105	14.2830163075856	1	6	YBL021C
38	YDR514C	1.00437646261684	14.2766026136421	14.5809058980955	1	23	YDR514C
39	SIR3	0.999380563854169	14.2180629876852	14.867782854132	1	27	YLR442C
40	YLR455W	0.992654819008298	14.2868850648173	14.5416787195143	1	1	YLR455W
41	SFP1	1.00827650532017	13.9740042727483	13.9664310076385	1	15	YLR403W
42	CTF18	1.00359329846972	13.9648612655871	14.7860723250291	1	2	YMR078C
43	HSM3	0.99146429475535	13.9729319175181	14.5330364967949	1	3	YBR272C
44	RPA12	0.998058077876798	13.9837974251973	13.955778220998	1	43	YJR063W
45	CGR1	0.994921118188608	14.1821128942522	14.740939264901	1	7	YGL029W
46	SGF11	1.00156797287314	14.2191710153451	14.0239208141046	1	25	YPL047W
47	LSM1	1.00073030279637	14.1231798527992	13.9938447269012	1	18	YJL124C
48	MFT1	0.994660063472902	14.1029732106569	14.094292884942	1	17	YML062C
49	REV1	0.996253644731968	13.8182198967305	14.5796226835365	1	5	YOR346W
50	YLR296W	1.00341974011477	14.2029369879884	14.4473715718061	1	1	YLR296W
51	NOP12	0.998099674507322	14.0168924417392	14.0084081152885	1	14	YOL041C
52	SLX4	0.990359832496591	13.8814026684839	14.632123522547	1	5	YLR135W
53	ARP5	0.993607238410656	13.9044199495369	14.4470029118797	1	3	YNL059C
54	SAP155	1.0086221876635	14.2401555677868	14.2155256219269	1	4	YFR040W
55	UFO1	0.995499167916244	14.2882288676899	14.390521488931	1	1	YML088W
56	SSK1	1.00266239456591	14.2589643605846	14.3456764766917	1	47	YLR006C
57	SAS3	0.997741082864868	14.2398458620064	14.38661264288	1	20	YBL052C
58	YJR096W	0.997279216829387	14.3887492238738	14.4830410641898	1	1	YJR096W
59	UBP12	0.995354296892693	14.0290080908308	14.5206717231258	1	3	YJL197W
60	YKL161C	0.995550805112758	14.1205532387381	14.4321382341922	1	1	YKL161C
61	DSS1	0.995867800124687	14.0993228785361	14.2756991051547	1	6	YMR287C
62	HUB1	0.992550110248701	14.363072624723	14.5045877909563	1	1	YNR032C-A
63	YNR004W	0.99999590711262	14.1611555020891	13.9493225610111	1	31	YNR004W
64	UBX2	1.00937236137951	14.4044142713218	14.2458809462186	1	32	YML013W
65	RGT2	0.998894313587001	14.0664443529954	14.4167139265166	1	3	YDL138W
66	EST2	0.998007875046854	14.2030960297258	14.6586150748523	1	2	YLR318W
67	SIP1	1.00659399333378	14.0810549124566	14.4073364938823	1	3	YDR422C
68	YHR003C	1.00454141477237	14.3165813644993	14.1599988114017	1	8	YHR003C
69	SUM1	1.07202979624882	14.2231142616574	14.0798031504516	1	25	YDR310C
70	HUL4	0.99850846897972	14.3876401826164	14.7778297493626	1	11	YJR036C
71	SHR5	0.992818336797257	14.3710858170474	14.1490050525979	1	8	YOL110W
72	CUE3	0.995210860235711	13.9195402296473	14.4384438041633	1	39	YGL110C
73	HUR1	1.01357362106251	14.4268827513325	14.2516260587751	1	10	YGL168W
74	CHL4	1.00105446964114	13.8261061411272	14.5342797880199	1	3	YDR254W
75	CLN2	0.994637113607785	14.0774612719872	14.5951380495106	1	1	YPL256C
76	PIG1	1.0004290858167	14.124176803608	14.3816587983912	1	4	YLR273C
77	ABF2	0.992647647175449	14.0826763583283	14.2774179598241	1	6	YMR072W
78	MRH1	0.997743951598008	14.077441064678	14.4821209657988	1	3	YDR033W
79	TPS2	1.0092016717577	14.222565036559	14.2100195425754	1	4	YDR074W
80	RME1	0.99866194620269	14.1830278419125	14.5078343233769	1	1	YGR044C
81	UGA1	0.995764525731661	13.9286807079859	14.5633642057234	1	2	YGR019W
82	YPR078C	0.999737721130053	14.0672012466589	14.6469775264313	1	2	YPR078C
83	FAA4	0.997227579632874	14.2667746885897	14.635005490803	1	12	YMR246W
84	NEJ1	0.990107383980303	14.3625526491552	14.4465673545119	1	28	YLR265C
85	YLR278C	1.00049936977863	14.1764709928226	14.4959439133837	1	1	YLR278C
86	POG1	1.00022684013036	15.0351660446625	7.11832531501786	1	13	YIL122W
87	HPA3	0.996184795136617	14.3571648607805	14.423315673843	1	1	YEL066W
88	ELP2	0.996751369931694	14.1036772938169	7.08167164005221	1	19	YGR200C
89	HTL1	0.992258933835028	13.9930244989022	14.0807699700033	1	38	YCR020W-B
90	YBT1	0.998704977199785	13.9003002648427	14.5829802979795	1	5	YLL048C
91	DOT6	0.994244097167655	14.0461376071011	14.5310621327881	1	3	YER088C
92	SCY1	0.999924188784129	14.1985617629284	14.3760481840303	1	1	YGL083W
93	GLT1	0.997299297961365	14.0323399289956	14.6513307833148	1	2	YDL171C
94	YGL082W	0.995349993792983	14.2040765406022	14.4812913051364	1	1	YGL082W
95	YKL222C	0.993688997305136	13.8935786544289	14.5798483227732	1	5	YKL222C
96	RAD10	0.997828579225627	13.8319605153676	14.5339581259251	1	3	YML095C
97	TEX1	0.996087258209869	14.3055317440564	14.477551005886	1	1	YNL253W
98	SSD1	0.992174306207409	14.3026925744419	14.6437353380005	1	12	YDR293C
99	ATG13	0.996533346213082	14.3979764372069	14.5187915616386	1	1	YPR185W
100	DAL80	0.99506312047902	13.9020306414277	14.5174018986462	1	3	YKR034W
101	HUG1	1.00147330467953	14.2170198509573	14.6967130229667	1	7	YML058W-A
102	SLF1	0.996018408614518	13.8392892603998	14.5700646236731	1	5	YDR515W
103	SDS3	1.02250542169276	14.7613271393281	14.4214263692917	1	29	YIL084C
104	VPS36	1.00374247259298	14.540350161977	14.3024003894201	1	36	YLR417W
105	STP1	1.00464612353197	14.0628583972507	14.2282956484642	1	6	YDR463W
106	BUR2	1.01686405797367	14.3079708529047	13.8760104947482	1	45	YLR226W
107	VPS30	0.999218480431779	14.3024828217961	14.556422510174	1	9	YPL120W
108	MEC3	0.996988040415714	13.8254161087053	14.5310195203176	1	3	YLR288C
109	YAP7	0.99662944877326	14.1757792434905	14.6476396332051	1	2	YOL028C
110	HCR1	0.995708585435438	14.0620372487395	13.9821251391318	1	18	YLR192C
111	RPS0B	1.01116818832492	13.9604826480779	13.9510721235507	1	15	YLR048W
112	POM34	0.992347864562357	14.275959806594	14.6590787647249	1	12	YLR018C
113	DAL81	0.997203195401187	14.3630412652544	14.1392739054304	1	8	YIR023W
114	IOC4	1.00012213137076	14.0238517886254	14.5420175920827	1	3	YMR044W
115	THP1	1.01119974438946	14.1007833744178	14.0920164016226	1	17	YOL072W
116	SUS1	1.00314147300023	14.2132387182036	14.030256856	1	25	YBR111W-A
117	OCA6	0.998290445261108	14.0589842048604	14.7781978714616	1	2	YDR067C
118	NAM7	1.09715702981887	14.0854859991557	13.9626503041124	1	18	YMR080C
119	REC114	0.992383723726602	14.025655024002	14.6191836460123	1	2	YMR133W
